address_or_intersection,asset_name,asset_status,asset_type,availability_confidence,availability_status,caveat,confidence_level,exact_impressions_confirmed,exact_price_confirmed,family_anchor_proximity,hgl_relevance_score,impressions_status,last_observed_date,media_format,ooh_asset_id,operator_if_known,preschool_school_proximity,pricing_status,recommended_use,retrieval_date,source_name,source_url,static_or_digital,transit_proximity,vendor_owner,verification_needed,zipcode,longitude,latitude
203 3 AVENUE,mn-06-123634,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0022,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.985322,40.735626
201 3 AVENUE,mn-06-134536,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0023,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.98389,40.737597
133 WEST 14 STREET,mn-04-123535,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0024,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.998319,40.738074
220 WEST 14 STREET,mn-02-123538,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0025,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.000946,40.738997
200 WEST 14 STREET,mn-02-123539,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0026,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.99993241,40.73857046
61 7 AVENUE,mn-04-123537,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0027,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.999476,40.738667
125 WEST 14 STREET,mn-04-122427,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0028,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.997921,40.737906
9th Ave & W 17th St,9th Ave & W 17th St,Network bookable,LinkNYC,Medium-High network confidence; unit/date unconfirmed,Network bookable; exact screen/date requires confirmation,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase.",Medium-High,False,False,To be evaluated by local context,7.6,Vendor/platform confirmation required,,Digital kiosk screen network,OOH-V4-0029,Intersection / CityBridge,To be evaluated by local context,Quote or self-service portal required,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,2026-06-11,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,Digital,Street-level kiosk; verify locally,LinkNYC / Intersection,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",10011,-74.00400454,40.74302673
1 WEST 17 STREET,mn-05-123023,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0030,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.992377,40.73804
628 HUDSON STREET,mn-02-108535,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0031,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.005466,40.738351
555 6 AVENUE,mn-04-134597,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0032,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.996296,40.738302
120 7 AVENUE,mn-04-138190,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0033,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.998204,40.740772
19 1 AVENUE,mn-03-115304,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0034,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.98839,40.72358
344 EAST 11 STREET,mn-03-136971,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0035,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.984309,40.729449
77 7 AVENUE,mn-04-135855,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0036,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.99915,40.739107
74 7 AVENUE,mn-04-134450,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0037,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.999381,40.739156
568 WEST 23 STREET,mn-04-123504,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0038,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.006904,40.748758
