anchor_id,anchor_name,anchor_category,anchor_subcategory,address_or_intersection,latitude,longitude,zip_code,source_name,source_url,retrieval_date,confidence_level,relevance_to_under5,relevance_to_parent_caregiver,relevance_to_hgl,duplicate_of_school_layer,duplicate_of_competitor_layer,notes
OLD-1,Union Square Park,Community centers,Community centers,,40.7359,-73.9911,10003,Existing local family anchor data,local repo public/data/hgl_family_anchors.geojson,2026-06-11,Medium,Medium,Medium,Community family-program context where publicly listed.,False,False,Existing public-context anchor carried forward.
FA-V5-2-0002,SoHo,Museums / culture,attraction,,40.72288,-73.9987505,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/158809984,2026-06-11,Medium,Medium,Medium,Family education/culture context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0018,Chakrasambara Buddhist Center,Community centers,place_of_worship,,40.7472222,-73.9966667,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357621210,2026-06-11,Medium,Medium,Medium,Community family-program context where publicly listed.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0019,Eastern States Buddhist Temple of America,Community centers,place_of_worship,64 Mott Street,40.716059,-73.9980944,10013,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357621213,2026-06-11,Medium,Medium,Medium,Community family-program context where publicly listed.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0020,Heavenly Grace Buddhist Temple,Community centers,place_of_worship,,40.7175988,-73.9989902,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357621216,2026-06-11,Medium,Medium,Medium,Community family-program context where publicly listed.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0021,Tiperith Israel Synagogue,Community centers,place_of_worship,,40.7063889,-73.9633333,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357623927,2026-06-11,Medium,Medium,Medium,Community family-program context where publicly listed.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0022,Church of Our Lady of Consolation,Community centers,place_of_worship,,40.7153247,-73.9615071,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357623977,2026-06-11,Medium,Medium,Medium,Community family-program context where publicly listed.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0023,Sidney Hillman Playground,Parks / playgrounds,park,,40.7153429,-73.9796043,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357650228,2026-06-11,Medium,High,High,Strong indicator of under-5 recreation and caregiver trips.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0024,Little Flower Playground,Parks / playgrounds,park,,40.712555,-73.9883938,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357650246,2026-06-11,Medium,High,High,Strong indicator of under-5 recreation and caregiver trips.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0025,Yu Suen Garden,Parks / playgrounds,park,,40.7285623,-73.9783526,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357650317,2026-06-11,Medium,High,High,Strong indicator of under-5 recreation and caregiver trips.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0026,Bleecker Playground,Parks / playgrounds,park,,40.7364971,-74.0055016,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357650406,2026-06-11,Medium,High,High,Strong indicator of under-5 recreation and caregiver trips.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0027,McCarthy Square,Parks / playgrounds,park,,40.7352146,-74.0017292,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357650409,2026-06-11,Medium,High,High,Strong indicator of under-5 recreation and caregiver trips.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0028,Unnamed public anchor,Parks / playgrounds,playground,,40.7254002,-74.0026467,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357650447,2026-06-11,Medium,High,High,Strong indicator of under-5 recreation and caregiver trips.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0029,Hudson River Waterfront Walkway,Parks / playgrounds,park,,40.7391685,-74.0269353,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/357746462,2026-06-11,Medium,High,High,Strong indicator of under-5 recreation and caregiver trips.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0030,Hoboken Historical Museum,Museums / culture,museum,1301 Hudson Street,40.7521438,-74.0249925,07030,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/367697388,2026-06-11,Medium,Medium,Medium,Family education/culture context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0031,Storefront for Art and Architecture,Museums / culture,gallery,97 Kenmare Street,40.7214798,-73.9971028,10012,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368042980,2026-06-11,Medium,Medium,Medium,Family education/culture context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0032,Abrons Arts Center,Museums / culture,arts_centre,466 Grand Street,40.715245,-73.9837408,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368043384,2026-06-11,Medium,Medium,Medium,Family education/culture context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0033,Stonewall Inn,Museums / culture,attraction,53 Christopher Street,40.7338163,-74.0021613,10014,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368043598,2026-06-11,Medium,Medium,Medium,Family education/culture context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0034,Paula Cooper Gallery,Museums / culture,gallery,525 West 21st Street,40.7470923,-74.0064354,10011,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368043670,2026-06-11,Medium,Medium,Medium,Family education/culture context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0035,Romanian Cultural Center,Community centers,community_centre,200 East 38th Street,40.7480509,-73.9760744,10016,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368045855,2026-06-11,Medium,Medium,Medium,Community family-program context where publicly listed.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0036,Grey Art Gallery,Museums / culture,arts_centre,,40.7299471,-73.996123,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368045910,2026-06-11,Medium,Medium,Medium,Family education/culture context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0037,Mercantile Library Building,Libraries,library,,40.730057,-73.9920657,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368049421,2026-06-11,Medium,Medium-High,High,Early literacy and children programming context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0038,Hamilton Fish Park Library,Parks / playgrounds,park/open space,415 East Houston Street,40.7197787,-73.9793368,10002,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368050625,2026-06-11,Medium,High,High,Strong indicator of under-5 recreation and caregiver trips.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0039,Newman Library and Technology Center,Libraries,library,,40.7405695,-73.9836119,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368050654,2026-06-11,Medium,Medium-High,High,Early literacy and children programming context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0040,Astor Place Opera House,Museums / culture,theatre,,40.7300861,-73.9921313,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368051467,2026-06-11,Medium,Medium,Medium,Family education/culture context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0041,Palace Theater,Museums / culture,theatre,1564 Broadway,40.7589003,-73.9846166,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368051619,2026-06-11,Medium,Medium,Medium,Family education/culture context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0042,Second Stage Theater,Museums / culture,theatre,,40.7581985,-73.9895564,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368051660,2026-06-11,Medium,Medium,Medium,Family education/culture context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0043,Atlantic Theater,Museums / culture,theatre,,40.7439485,-74.001512,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368051665,2026-06-11,Medium,Medium,Medium,Family education/culture context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0044,Daryl Roth Theater,Museums / culture,theatre,,40.7352914,-73.9894585,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368051668,2026-06-11,Medium,Medium,Medium,Family education/culture context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0045,Joyce Theatre,Museums / culture,theatre,,40.7425,-74.0011111,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368051674,2026-06-11,Medium,Medium,Medium,Family education/culture context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0046,Variety Arts Theatre,Museums / culture,theatre,,40.7330556,-73.9883333,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368051679,2026-06-11,Medium,Medium,Medium,Family education/culture context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0047,Minetta Lane Theatre,Museums / culture,theatre,,40.7302778,-74.0016667,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368051684,2026-06-11,Medium,Medium,Medium,Family education/culture context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0048,Barnes & Noble,Family retail / grocery,books,33 East 17th Street,40.7369258,-73.9896011,10003,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368053310,2026-06-11,Medium,Medium,Medium-High,Parent/caregiver errand context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0049,Sixth Street Community Center,Community centers,community_centre,,40.7237397,-73.9802085,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368055709,2026-06-11,Medium,Medium,Medium,Community family-program context where publicly listed.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0050,Yeshiva University Museum,Museums / culture,museum,,40.737978,-73.9938312,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368061605,2026-06-11,Medium,Medium,Medium,Family education/culture context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0051,Museum of African Art,Museums / culture,museum,,40.725,-73.9977778,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368061657,2026-06-11,Medium,Medium,Medium,Family education/culture context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0052,Lower East Side Tenement Museum,Museums / culture,museum,103 Orchard Street,40.7187837,-73.9900266,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/368061660,2026-06-11,Medium,Medium,Medium,Family education/culture context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0053,Unnamed public anchor,Parks / playgrounds,playground,,40.7217235,-73.9961868,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/428627787,2026-06-11,Medium,High,High,Strong indicator of under-5 recreation and caregiver trips.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0054,28th Street,Transit / corridors,station,,40.7433137,-73.9840753,10016,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/544355306,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0055,14th Street–Union Square,Transit / corridors,station,,40.7357611,-73.9906491,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/544355596,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0056,28th Street,Transit / corridors,station,,40.745494,-73.988691,10001,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/544355768,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0057,Whole Foods Market,Family retail / grocery,supermarket,4 Union Square South,40.7347925,-73.9913589,10003,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/584125647,2026-06-11,Medium,Medium,Medium-High,Parent/caregiver errand context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0058,Walgreens,Pediatric / health,chemist,33 East 23rd Street,40.7404986,-73.9864967,10010,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/584141414,2026-06-11,Medium,Medium,High,Family health errand context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0059,Canal Street,Transit / corridors,station,,40.718092,-73.999892,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/591995252,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0060,Broadway–Lafayette Street,Transit / corridors,station,,40.725297,-73.996204,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/591995518,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0061,5th Avenue,Transit / corridors,station,,40.7537434,-73.9819002,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/591997635,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0062,Grand Central–42nd Street,Transit / corridors,station,,40.7517716,-73.9768249,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/591997657,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0063,Rector Street,Transit / corridors,station,,40.7073629,-74.01385,10006,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928296,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0064,WTC Cortlandt,Transit / corridors,station,180 Greenwich Street,40.7114324,-74.0121448,10007,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928297,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0065,Chambers Street,Transit / corridors,station,Chambers Street,40.7155081,-74.0092451,10013,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928298,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0066,Wall Street,Transit / corridors,station,William Street,40.7067241,-74.0091832,10005,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928300,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0067,East Broadway,Transit / corridors,station,,40.713715,-73.990173,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928301,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0068,Grand Street,Transit / corridors,station,,40.7181616,-73.9937839,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928302,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0069,Bowery,Transit / corridors,station,,40.7202174,-73.99372,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928303,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0070,Broad Street,Transit / corridors,station,Broad Street,40.7064906,-74.0110604,10005,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928305,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0071,West 4th Street–Washington Square,Transit / corridors,station,,40.731643,-74.0009941,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928309,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0072,2nd Avenue,Transit / corridors,station,,40.723402,-73.989938,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928311,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0073,Essex Street,Transit / corridors,station,,40.7183982,-73.9874236,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928312,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0074,42nd Street–Bryant Park,Parks / playgrounds,park/open space,,40.754222,-73.9845689,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928316,2026-06-11,Medium,High,High,Strong indicator of under-5 recreation and caregiver trips.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0075,51st Street,Transit / corridors,station,,40.7571102,-73.9719555,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928319,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0076,Prince Street,Transit / corridors,station,,40.724329,-73.997702,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928328,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0077,8th Street–New York University,Transit / corridors,station,,40.730328,-73.9926289,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928329,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0078,Canal Street,Transit / corridors,station,,40.7184961,-74.0004678,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928334,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0079,23rd Street-Baruch College,Transit / corridors,station,,40.7401787,-73.9863823,10010,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928338,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0080,Astor Place,Transit / corridors,station,,40.7298497,-73.9913897,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928340,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0081,Bleecker Street,Transit / corridors,station,,40.7259471,-73.9946797,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928342,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0082,Spring Street,Transit / corridors,station,,40.7223025,-73.9971855,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928343,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0083,33rd Street,Transit / corridors,station,,40.7463947,-73.9818293,10016,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597928345,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0084,1st Avenue,Transit / corridors,station,,40.7308653,-73.9814231,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597937470,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0085,Canal Street,Transit / corridors,station,,40.7218493,-74.0052989,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597937473,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0086,14th Street,Transit / corridors,station,,40.7380466,-73.9963408,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597937475,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0087,3rd Avenue,Transit / corridors,station,,40.7331529,-73.986821,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597937476,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0088,42nd Street–Port Authority Bus Terminal,Transit / corridors,station,,40.757308,-73.989735,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597937477,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0089,Spring Street,Transit / corridors,station,,40.7255399,-74.0040137,buffer/unknown,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597937480,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0090,23rd Street,Transit / corridors,station,,40.7440859,-73.995641,10011,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597937481,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
FA-V5-2-0091,28th Street,Transit / corridors,station,,40.747217,-73.9933621,10001,OpenStreetMap Overpass public POI,https://www.openstreetmap.org/node/597937482,2026-06-11,Medium,Low-Medium,Medium,Pickup/drop-off and stroller corridor context.,False,False,Public/commercial/community context signal; verify details before claims.
