bbl,bin,address_or_label,zipcode,residential_use_type,residential_units,residential_capacity_units,estimated_household_capacity,under5_capacity_signal,under5_capacity_share,preschool_age_capacity_signal,capacity_model_confidence,data_tier,truthfulness_caveat
1002210035,1002855,12 VESTRY STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004750009,1007061,355 WEST BROADWAY,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890013,1077739,81 SULLIVAN STREET,10012,Mixed-use,6,6,6,0.28,0.0467,0.28,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005780070,1009729,117 VARICK STREET,10013,Residential,11,11,11,0.899,0.0817,0.899,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004760071,1007110,362 WEST BROADWAY,10013,Mixed-use,6,6,6,0.491,0.0818,0.491,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005940105,1010317,225 HUDSON STREET,10013,Mixed-use,12,12,12,0.981,0.0818,0.981,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005040036,1007814,100 SULLIVAN STREET,10012,Residential,70,70,70,3.27,0.0467,3.27,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005790002,1009736,284 HUDSON STREET,10013,Mixed-use,1,1,1,0.082,0.082,0.082,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004880006,1007323,64 THOMPSON STREET,10012,Residential,30,30,30,1.402,0.0467,1.402,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890037,1007368,57 THOMPSON STREET,10012,Residential,40,40,40,1.869,0.0467,1.869,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004900029,1089764,30 SULLIVAN STREET,10012,Residential,1,1,1,0.047,0.047,0.047,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004900028,1089765,40 SULLIVAN STREET,10012,Residential,1,1,1,0.047,0.047,0.047,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002280023,1002963,55 GRAND STREET,10013,Mixed-use,2,2,2,0.164,0.082,0.164,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005940115,1088827,503 CANAL STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005940112,1010319,497 CANAL STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002270006,1002939,391 CANAL STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002270055,1002947,17 THOMPSON STREET,10013,Mixed-use,7,7,7,0.572,0.0817,0.572,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004900024,1007373,204 SPRING STREET,10012,Mixed-use,26,26,26,1.215,0.0467,1.215,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004760085,1077738,44 GRAND STREET,10013,Mixed-use,16,16,16,1.308,0.0818,1.308,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002290013,1002972,14 WOOSTER STREET,10013,Mixed-use,6,6,6,0.491,0.0818,0.491,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004900023,1007372,206 SPRING STREET,10012,Mixed residential/commercial,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004750014,1007065,495 BROOME STREET,10013,Mixed-use,6,6,6,0.491,0.0818,0.491,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004770068,1087915,52 WATTS STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004760062,1086623,40 THOMPSON STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890011,1007349,77 SULLIVAN STREET,10012,Mixed-use,8,8,8,0.374,0.0467,0.374,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002270052,1088405,27 GRAND STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002270028,1089841,306 WEST BROADWAY,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005030004,1007776,103 SULLIVAN STREET,10012,Mixed-use,18,18,18,0.841,0.0467,0.841,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002270001,1002935,381 CANAL STREET,10013,Mixed-use,3,3,3,0.245,0.0817,0.245,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002280024,1002964,57 GRAND STREET,10013,Mixed-use,3,3,3,0.245,0.0817,0.245,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004750022,1007072,41 WOOSTER STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890002,1007342,57 SULLIVAN STREET,10012,Residential,3,3,3,0.14,0.0467,0.14,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002290006,1002970,351 CANAL STREET,10013,Mixed-use,9,9,9,0.736,0.0818,0.736,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004760084,1007115,46 GRAND STREET,10013,Mixed-use,8,8,8,0.654,0.0818,0.654,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004760073,1007111,356 WEST BROADWAY,10013,Parking,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890013,1077750,81 SULLIVAN STREET,10012,Mixed-use,6,6,6,0.28,0.0467,0.28,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002280009,1002958,373 CANAL STREET,10013,Mixed-use,3,3,3,0.245,0.0817,0.245,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004900021,1007371,208 SPRING STREET,10013,Mixed-use,6,6,6,0.491,0.0818,0.491,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005780067,1009728,119 VARICK STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002110027,1002730,378 CANAL STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890026,1007360,79 THOMPSON STREET,10012,Residential,16,16,16,0.748,0.0467,0.748,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002280002,1002954,359 CANAL STREET,10013,Mixed-use,4,4,4,0.327,0.0818,0.327,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002270003,1002937,385 CANAL STREET,10013,Mixed-use,4,4,4,0.327,0.0818,0.327,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002280010,1002959,375 CANAL STREET,10013,Mixed-use,9,9,9,0.736,0.0818,0.736,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005780063,1009726,34 DOMINICK STREET,10013,Residential,2,2,2,0.164,0.082,0.164,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004910003,1090945,114 VARICK STREET,10013,Parking,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005780078,1009733,574 BROOME STREET,10013,Mixed-use,2,2,2,0.164,0.082,0.164,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002280111,1087487,323 WEST BROADWAY,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002110024,1002729,380 CANAL STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002280007,1079557,369 CANAL STREET,10013,Mixed residential/commercial,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004760083,1007114,48 GRAND STREET,10013,Residential,5,5,5,0.409,0.0818,0.409,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005790035,1090918,SPRING STREET,10013,Parking,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004880032,1007337,378 WEST BROADWAY,10012,Mixed-use,4,4,4,0.187,0.0467,0.187,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002290005,1002969,349 CANAL STREET,10013,Parking,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005940082,1010312,285 HUDSON STREET,10013,Mixed-use,1,1,1,0.082,0.082,0.082,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005790009,1089462,292 HUDSON STREET,10013,Transportation/utility,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002200028,1002848,17 VESTRY STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002290031,1002976,27 GREENE STREET,10013,Mixed-use,3,3,3,0.245,0.0817,0.245,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004750012,1007063,499 BROOME STREET,10013,Mixed-use,2,2,2,0.164,0.082,0.164,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005030005,1007777,105 SULLIVAN STREET,10012,Mixed-use,14,14,14,0.654,0.0467,0.654,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002250008,1002933,205 HUDSON STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004750001,1007056,337 WEST BROADWAY,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002270019,1002943,41 GRAND STREET,10013,Mixed-use,2,2,2,0.164,0.082,0.164,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004770011,1007119,101 AVENUE OF THE AMER,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002280007,1079558,369 CANAL STREET,10013,Mixed residential/commercial,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004910001,1007377,558 BROOME STREET,10013,Mixed-use,20,20,20,1.635,0.0818,1.635,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005030041,1007793,187 SPRING STREET,10012,Mixed-use,10,10,10,0.467,0.0467,0.467,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002270028,1087764,306 WEST BROADWAY,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004760025,1007103,519 BROOME STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004770001,1007118,80 VARICK STREET,10013,Mixed-use,54,54,54,4.415,0.0818,4.415,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005030042,1007794,189 SPRING STREET,10012,Mixed-use,2,2,2,0.093,0.0465,0.093,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004750032,1007074,62 GRAND STREET,10013,Mixed-use,2,2,2,0.164,0.082,0.164,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004880034,1007338,374 WEST BROADWAY,10013,Mixed residential/commercial,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1002280007,1079556,369 CANAL STREET,10013,Mixed residential/commercial,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005780062,1009725,36 DOMINICK STREET,10013,Residential,3,3,3,0.245,0.0817,0.245,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004760062,1007109,40 THOMPSON STREET,10013,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890020,1007355,192 SPRING STREET,10012,Mixed-use,15,15,15,0.701,0.0467,0.701,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890006,1007345,65 SULLIVAN STREET,10012,Residential,13,13,13,0.607,0.0467,0.607,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890015,1007352,85 SULLIVAN STREET,10012,Residential,3,3,3,0.14,0.0467,0.14,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1005780061,1009724,38 DOMINICK STREET,10013,Residential,1,1,1,0.082,0.082,0.082,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890032,1077743,69 THOMPSON STREET,10012,Mixed-use,9,9,9,0.42,0.0467,0.42,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004890032,1077751,69 THOMPSON STREET,10012,Mixed-use,9,9,9,0.42,0.0467,0.42,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
