ooh_asset_id,asset_name,asset_type,vendor_owner,operator_if_known,address_or_intersection,latitude,longitude,zipcode,media_format,static_or_digital,asset_status,availability_status,availability_confidence,source_name,source_url,retrieval_date,last_observed_date,pricing_status,exact_price_confirmed,impressions_status,exact_impressions_confirmed,family_anchor_proximity,preschool_school_proximity,transit_proximity,hgl_relevance_score,recommended_use,verification_needed,confidence_level,caveat
OOH012,JCDecaux NS4152KI / MN0147AB around E23 / 2nd-3rd Ave,Bus shelters,JCDecaux,JCDecaux,JCDecaux NS4152KI / MN0147AB around E23 / 2nd-3rd Ave,40.738797,-73.982817,10010,Digital newsstand / bus shelter,Verify with vendor,Potentially bookable,Potentially bookable/source-listed; exact availability/date/creative restrictions require vendor confirmation,Medium,SRC009,https://marketing.jcdecauxna.com/maps/nysf_map/nysf_map.html,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,Gramercy; PS40; The École routes,Verify locally,Verify locally,7.8,Gramercy add-on,"Confirm panel IDs, exact address, availability, rate.",Medium,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
OOH013,1 St Luke’s Pl,LinkNYC,LinkNYC / Intersection,LinkNYC / Intersection,1 St Luke’s Pl,40.730258,-74.006629,10014,LinkNYC digital kiosk,Verify with vendor,Network bookable,Available network/self-service channel; exact unit/date/time/pricing require confirmation,High network availability; unit/date unconfirmed,SRC010,https://www.link.nyc/link-locations.html,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,West Village residential; Pier 51 / PS routes,Verify locally,Verify locally,7.8,West Village residential-route awareness,Confirm unit/date/pricing.,High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
OOH014,55 / 83 3rd Ave,LinkNYC,LinkNYC / Intersection,LinkNYC / Intersection,55 / 83 3rd Ave,40.731015,-73.988685,10003,LinkNYC digital kiosks,Verify with vendor,Network bookable,Available network/self-service channel; exact unit/date/time/pricing require confirmation,High network availability; unit/date unconfirmed,SRC010,https://www.link.nyc/link-locations.html,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,East Village; 14th St Y; Cooper Square; NYU area,Verify locally,Verify locally,7.8,East Village supplement,Confirm unit/date/pricing.,High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
OOH015,JCDecaux MN0408AB Barrow / Hudson corridor,Bus shelters,JCDecaux,JCDecaux,JCDecaux MN0408AB Barrow / Hudson corridor,40.73155,-74.006537,10014,Bus shelter panel,Verify with vendor,Potentially bookable,Potentially bookable/source-listed; exact availability/date/creative restrictions require vendor confirmation,Medium,SRC009,https://marketing.jcdecauxna.com/maps/nysf_map/nysf_map.html,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,West Village residential/park routes,Verify locally,Verify locally,7.7,West Village street-furniture supplement,"Confirm panel ID, exact address, availability, rate.",Medium,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
OOH016,JCDecaux MN0040AB near 2nd Ave / E11-E12,Bus shelters,JCDecaux,JCDecaux,JCDecaux MN0040AB near 2nd Ave / E11-E12,40.731497,-73.982311,10003,Bus shelter panel,Verify with vendor,Potentially bookable,Potentially bookable/source-listed; exact availability/date/creative restrictions require vendor confirmation,Medium,SRC009,https://marketing.jcdecauxna.com/maps/nysf_map/nysf_map.html,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,East Village residential/school routes,Verify locally,Verify locally,7.5,East Village supplement,"Confirm panel ID, exact address, availability, rate.",Medium,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
OOH017,399 W Broadway,LinkNYC,LinkNYC / Intersection,LinkNYC / Intersection,399 W Broadway,40.724338,-74.002022,10012,LinkNYC digital kiosk,Verify with vendor,Network bookable,Available network/self-service channel; exact unit/date/time/pricing require confirmation,High network availability; unit/date unconfirmed,SRC010,https://www.link.nyc/link-locations.html,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,SoHo shopping; parent errands; creative corridor,Verify locally,Verify locally,7.5,SoHo niche awareness for multilingual early learning,Confirm unit/date/pricing.,Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
OOH018,W4 St-Washington Sq station + 347/375/425 6th Ave LinkNYC,LinkNYC,OUTFRONT / LinkNYC,OUTFRONT / LinkNYC,W4 St-Washington Sq station + 347/375/425 6th Ave LinkNYC,40.732338,-74.000495,10014/10012,Subway station ads + LinkNYC digital kiosks,Verify with vendor,Candidate to verify,Candidate to verify for station; LinkNYC network requires exact unit/date confirmation,Medium-Low mixed,SRC005,https://www.mta.info/doing-business-with-us/advertising,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,Washington Square; PS3; PS41; NY Kids Club; POTA Greenwich Village,Verify locally,Verify locally,7.5,Village test package after core Union Square/Tribeca,"Confirm station inventory, LinkNYC units, date, price.",Medium,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
OOH019,JCDecaux MN0025AB Broadway / Prince-Houston corridor,Bus shelters,JCDecaux,JCDecaux,JCDecaux MN0025AB Broadway / Prince-Houston corridor,40.72621,-73.99813,10012,Bus shelter panel,Verify with vendor,Potentially bookable,Potentially bookable/source-listed; exact availability/date/creative restrictions require vendor confirmation,Medium,SRC009,https://marketing.jcdecauxna.com/maps/nysf_map/nysf_map.html,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,SoHo/NoHo retail-adjacent corridor,Verify locally,Verify locally,7.4,Small SoHo test,"Confirm panel ID, exact address, availability, rate.",Medium,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
OOH020,W13 between 9th Ave and Washington St,Wallscapes,Angel Media,Angel Media,W13 between 9th Ave and Washington St,40.7407,-74.006,10014/10011,Hand-painted wallscape / mural billboard,Verify with vendor,Candidate to verify,Candidate to verify only; no date-level availability confirmed,Low-Medium,SRC011,https://www.newswire.com/news/angel-media-unveils-iconic-new-hand-painted-billboard-in-nyc-s-22574114,2026-06-10,,Quote/vendor confirmation required,False,Vendor confirmation required,False,Meatpacking / West Village / Chelsea cultural corridor; weaker direct early-childhood anchor fit,Verify locally,Verify locally,6.4,Exploratory brand moment only after feasibility and budget check,"Confirm inventory, rate, production timeline, restrictions.",Low-Medium,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
LINKNYC_0021,2nd Ave & E 25th St,LinkNYC,LinkNYC / Intersection,Intersection / CityBridge,2nd Ave & E 25th St,40.73964666,-73.97946572,10010,Digital kiosk screen network,Digital,Network bookable,Network bookable; exact screen/date requires confirmation,Medium-High network confidence; unit/date unconfirmed,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,2026-06-11,,Quote or self-service portal required,False,Vendor/platform confirmation required,False,To be evaluated by local context,To be evaluated by local context,Street-level kiosk; verify locally,8.2,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
LINKNYC_0022,3rd Ave & E 17th St,LinkNYC,LinkNYC / Intersection,Intersection / CityBridge,3rd Ave & E 17th St,40.735626,-73.985322,10003,Digital kiosk screen network,Digital,Network bookable,Network bookable; exact screen/date requires confirmation,Medium-High network confidence; unit/date unconfirmed,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,2026-06-11,,Quote or self-service portal required,False,Vendor/platform confirmation required,False,To be evaluated by local context,To be evaluated by local context,Street-level kiosk; verify locally,8.2,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
LINKNYC_0023,3rd Ave & E 21st St,LinkNYC,LinkNYC / Intersection,Intersection / CityBridge,3rd Ave & E 21st St,40.737597,-73.98389,10010,Digital kiosk screen network,Digital,Network bookable,Network bookable; exact screen/date requires confirmation,Medium-High network confidence; unit/date unconfirmed,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,2026-06-11,,Quote or self-service portal required,False,Vendor/platform confirmation required,False,To be evaluated by local context,To be evaluated by local context,Street-level kiosk; verify locally,8.2,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
LINKNYC_0024,W 14th St & 7th Ave,LinkNYC,LinkNYC / Intersection,Intersection / CityBridge,W 14th St & 7th Ave,40.73807416,-73.99831928,10011,Digital kiosk screen network,Digital,Network bookable,Network bookable; exact screen/date requires confirmation,Medium-High network confidence; unit/date unconfirmed,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,2026-06-11,,Quote or self-service portal required,False,Vendor/platform confirmation required,False,To be evaluated by local context,To be evaluated by local context,Street-level kiosk; verify locally,7.6,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
LINKNYC_0025,W 14th St & 7th Ave,LinkNYC,LinkNYC / Intersection,Intersection / CityBridge,W 14th St & 7th Ave,40.73899661,-74.0009461,10011,Digital kiosk screen network,Digital,Network bookable,Network bookable; exact screen/date requires confirmation,Medium-High network confidence; unit/date unconfirmed,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,2026-06-11,,Quote or self-service portal required,False,Vendor/platform confirmation required,False,To be evaluated by local context,To be evaluated by local context,Street-level kiosk; verify locally,7.6,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
LINKNYC_0026,W 14th St & 7th Ave,LinkNYC,LinkNYC / Intersection,Intersection / CityBridge,W 14th St & 7th Ave,40.73857046,-73.99993241,10011,Digital kiosk screen network,Digital,Network bookable,Network bookable; exact screen/date requires confirmation,Medium-High network confidence; unit/date unconfirmed,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,2026-06-11,,Quote or self-service portal required,False,Vendor/platform confirmation required,False,To be evaluated by local context,To be evaluated by local context,Street-level kiosk; verify locally,7.6,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
LINKNYC_0027,W 14th St & 6th Ave,LinkNYC,LinkNYC / Intersection,Intersection / CityBridge,W 14th St & 6th Ave,40.737805,-73.998106,10011,Digital kiosk screen network,Digital,Network bookable,Network bookable; exact screen/date requires confirmation,Medium-High network confidence; unit/date unconfirmed,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,2026-06-11,,Quote or self-service portal required,False,Vendor/platform confirmation required,False,To be evaluated by local context,To be evaluated by local context,Street-level kiosk; verify locally,7.6,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
LINKNYC_0028,7th Ave & W 14th St,LinkNYC,LinkNYC / Intersection,Intersection / CityBridge,7th Ave & W 14th St,40.73866726,-73.99947574,10011,Digital kiosk screen network,Digital,Network bookable,Network bookable; exact screen/date requires confirmation,Medium-High network confidence; unit/date unconfirmed,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,2026-06-11,,Quote or self-service portal required,False,Vendor/platform confirmation required,False,To be evaluated by local context,To be evaluated by local context,Street-level kiosk; verify locally,7.6,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
LINKNYC_0029,W 14th St & 6th Ave,LinkNYC,LinkNYC / Intersection,Intersection / CityBridge,W 14th St & 6th Ave,40.73790583,-73.99792058,10011,Digital kiosk screen network,Digital,Network bookable,Network bookable; exact screen/date requires confirmation,Medium-High network confidence; unit/date unconfirmed,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,2026-06-11,,Quote or self-service portal required,False,Vendor/platform confirmation required,False,To be evaluated by local context,To be evaluated by local context,Street-level kiosk; verify locally,7.6,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
LINKNYC_0030,9th Ave & W 17th St,LinkNYC,LinkNYC / Intersection,Intersection / CityBridge,9th Ave & W 17th St,40.74302673,-74.00400454,10011,Digital kiosk screen network,Digital,Network bookable,Network bookable; exact screen/date requires confirmation,Medium-High network confidence; unit/date unconfirmed,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,2026-06-11,,Quote or self-service portal required,False,Vendor/platform confirmation required,False,To be evaluated by local context,To be evaluated by local context,Street-level kiosk; verify locally,7.6,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
LINKNYC_0031,W 17th St & 5th Ave,LinkNYC,LinkNYC / Intersection,Intersection / CityBridge,W 17th St & 5th Ave,40.73803969,-73.9923767,10011,Digital kiosk screen network,Digital,Network bookable,Network bookable; exact screen/date requires confirmation,Medium-High network confidence; unit/date unconfirmed,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,2026-06-11,,Quote or self-service portal required,False,Vendor/platform confirmation required,False,To be evaluated by local context,To be evaluated by local context,Street-level kiosk; verify locally,7.6,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
LINKNYC_0032,Union Square E & E 15th St,LinkNYC,LinkNYC / Intersection,Intersection / CityBridge,Union Square E & E 15th St,40.735187,-73.989871,10003,Digital kiosk screen network,Digital,Network bookable,Network bookable; exact screen/date requires confirmation,Medium-High network confidence; unit/date unconfirmed,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,2026-06-11,,Quote or self-service portal required,False,Vendor/platform confirmation required,False,To be evaluated by local context,To be evaluated by local context,Street-level kiosk; verify locally,8.2,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
LINKNYC_0033,Hudson St & Jane St,LinkNYC,LinkNYC / Intersection,Intersection / CityBridge,Hudson St & Jane St,40.73835105,-74.00546559,10014,Digital kiosk screen network,Digital,Network bookable,Network bookable; exact screen/date requires confirmation,Medium-High network confidence; unit/date unconfirmed,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,2026-06-11,,Quote or self-service portal required,False,Vendor/platform confirmation required,False,To be evaluated by local context,To be evaluated by local context,Street-level kiosk; verify locally,7.8,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
LINKNYC_0034,Park Ave S & E 22nd St,LinkNYC,LinkNYC / Intersection,Intersection / CityBridge,Park Ave S & E 22nd St,40.73946433,-73.98705217,10010,Digital kiosk screen network,Digital,Network bookable,Network bookable; exact screen/date requires confirmation,Medium-High network confidence; unit/date unconfirmed,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,2026-06-11,,Quote or self-service portal required,False,Vendor/platform confirmation required,False,To be evaluated by local context,To be evaluated by local context,Street-level kiosk; verify locally,8.2,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
LINKNYC_0035,3rd Ave & E 11th St,LinkNYC,LinkNYC / Intersection,Intersection / CityBridge,3rd Ave & E 11th St,40.731015,-73.988685,10003,Digital kiosk screen network,Digital,Network bookable,Network bookable; exact screen/date requires confirmation,Medium-High network confidence; unit/date unconfirmed,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,2026-06-11,,Quote or self-service portal required,False,Vendor/platform confirmation required,False,To be evaluated by local context,To be evaluated by local context,Street-level kiosk; verify locally,8.2,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
LINKNYC_0036,6th Ave & W 15th St,LinkNYC,LinkNYC / Intersection,Intersection / CityBridge,6th Ave & W 15th St,40.7383024,-73.99629565,10011,Digital kiosk screen network,Digital,Network bookable,Network bookable; exact screen/date requires confirmation,Medium-High network confidence; unit/date unconfirmed,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,2026-06-11,,Quote or self-service portal required,False,Vendor/platform confirmation required,False,To be evaluated by local context,To be evaluated by local context,Street-level kiosk; verify locally,7.6,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
LINKNYC_0037,7th Ave & W 18th St,LinkNYC,LinkNYC / Intersection,Intersection / CityBridge,7th Ave & W 18th St,40.74077246,-73.9982041,10011,Digital kiosk screen network,Digital,Network bookable,Network bookable; exact screen/date requires confirmation,Medium-High network confidence; unit/date unconfirmed,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,2026-06-11,,Quote or self-service portal required,False,Vendor/platform confirmation required,False,To be evaluated by local context,To be evaluated by local context,Street-level kiosk; verify locally,7.6,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
LINKNYC_0038,1st Ave & E 1st St,LinkNYC,LinkNYC / Intersection,Intersection / CityBridge,1st Ave & E 1st St,40.72357993,-73.9883901,10003,Digital kiosk screen network,Digital,Network bookable,Network bookable; exact screen/date requires confirmation,Medium-High network confidence; unit/date unconfirmed,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,2026-06-11,,Quote or self-service portal required,False,Vendor/platform confirmation required,False,To be evaluated by local context,To be evaluated by local context,Street-level kiosk; verify locally,8.2,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
LINKNYC_0039,E 11th St & 1st Ave,LinkNYC,LinkNYC / Intersection,Intersection / CityBridge,E 11th St & 1st Ave,40.72944908,-73.98430909,10003,Digital kiosk screen network,Digital,Network bookable,Network bookable; exact screen/date requires confirmation,Medium-High network confidence; unit/date unconfirmed,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,2026-06-11,,Quote or self-service portal required,False,Vendor/platform confirmation required,False,To be evaluated by local context,To be evaluated by local context,Street-level kiosk; verify locally,8.2,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",Medium-High,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase."
